"","x"
"1",1
"2",3
"3",5
"4",6
"5",7
"6",8
"7",9
"8",10
"9",12
"10",13
"11",16
"12",17
"13",18
"14",19
"15",20
"16",21
"17",25
"18",29
"19",34
"20",35
"21",36
"22",38
"23",39
"24",41
"25",49
"26",51
"27",52
"28",53
"29",54
"30",55
"31",89
"32",104
"33",115
"34",137
"35",138
"36",168
"37",211
"38",222
"39",227
"40",258
"41",271
"42",339
"43",367
"44",412
"45",417
"46",422
"47",458
"48",468
"49",480
"50",483
"51",488
"52",490
"53",496
"54",502
"55",538
"56",548
"57",552
"58",561
"59",568
"60",571
"61",580
"62",592
"63",660
"64",689
"65",728
"66",730
"67",769
"68",779
"69",860
"70",863
"71",877
"72",881
"73",908
"74",930
"75",949
"76",953
"77",959
"78",972
"79",979
"80",999
"81",1014
"82",1020
"83",1047
"84",1054
"85",1059
"86",1073
"87",1081
"88",1092
"89",1097
"90",1100
"91",1111
"92",1121
"93",1136
"94",1157
"95",1179
"96",1184
"97",1189
"98",1195
"99",1198
"100",1204
"101",1209
"102",1211
"103",1224
"104",1249
"105",1268
"106",1275
"107",1283
"108",1292
"109",1293
"110",1295
"111",1302
"112",1317
"113",1326
"114",1410
"115",1425
"116",1431
"117",1448
"118",1450
"119",1474
"120",1477
"121",1555
"122",1557
"123",1579
"124",1589
"125",1593
"126",1600
"127",1601
"128",1604
"129",1615
"130",1616
"131",1631
"132",1638
"133",1668
"134",1675
"135",1691
"136",1698
"137",1760
"138",1797
"139",1803
"140",1814
"141",1828
"142",1829
"143",1837
"144",1848
"145",1850
"146",1893
"147",1895
"148",1910
"149",1918
"150",1937
"151",1949
"152",1956
"153",1961
"154",1963
"155",1964
"156",1972
"157",1980
"158",1991
"159",1994
"160",2006
"161",2014
"162",2020
"163",2021
"164",2038
"165",2063
"166",2068
"167",2076
"168",2080
"169",2084
"170",2094
"171",2102
"172",2103
"173",2112
"174",2113
"175",2124
"176",2142
"177",2159
"178",2169
"179",2172
"180",2181
"181",2182
"182",2185
"183",2202
"184",2203
"185",2218
"186",2240
"187",2241
"188",2264
"189",2277
"190",2285
"191",2315
"192",2320
"193",2330
"194",2343
"195",2347
"196",2349
"197",2362
"198",2420
"199",2422
"200",2474
"201",2485
"202",2501
"203",2517
"204",2532
