"","Have.you.ever.been.diagnosed.with.colour.blindness.","How.many.years..including.this.year..have.you.studied.in.an.English.language.school.university.","Do.you.play.video.games.regularly.","What.device.did.you.use.to.do.the.Stroop.test.","What.kind.of.headphones.did.you.use.","Put.these.levels.of.auditory.distraction.in.the.order.that.you.did.them.","What.was.your.first.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.","OffTime","OnTime","Total...of.runs.Stroop.Off","Total...of.runs.Stroop.On","OnTime.minus.OffTime","What.was.your.second.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.2","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.2","OffTime2","OnTime2","Total...of.runs.Stroop.Off2","Total...of.runs.Stroop.On2","OnTime.minus.OffTime2","What.was.your.third.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.3","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.3","OffTime3","OnTime3","Total...of.runs.Stroop.Off3","Total...of.runs.Stroop.On3","OnTime.minus.OffTime3","ID"
"1","No","12","No","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","8 hrs","5 p.m.","47.379","50.003",6,7,"2.624","Ed sheeran","8","5:20 pm","46.169","48.313",5,5,"2.144","classical","8","5:40 pm","44.765","45.911",6,7,"1.146",1
"2","No","7","No","Android phone","In-ear headphones; not noise cancelling","","quite","8","Morning (10.49 Am)","61.675","74.913s",5,5,"13.238s","MOZART","8","11:42AM","64.676s","64.676s",6,6,"25.934s","Ed Sherron","8","11.53AM","70.651s","82.432s",6,7,"11.781",2
"3","No","4","No","iPhone / iPod","Over-ear headphones; noise cancelling","","Quiet","9","1.00pm","75.542s","82.570s",5,5,"7.028s","Shape of You","9","1.30pm","79.855s","88.525",5,5,"8.670","Classical","8","1.00pm","77.630s","83.015s",5,5,"5.385s",3
"4","No","5","No","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","7","12:05PM","62.823s","75.340s",5,5,"12.518s","Music with lyrics","7","12:12PM","65.072s","75.898s",6,5,"10.826s","Classical instrumental music","7","12:18PM","64.517s","73.342s",5,6,"8.825s",4
"5","No","18","No","Android phone","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","Classical instrumental music","8","11:25 am","48.707","61.569",5,5,"12.862","Quiet","8","11:30 am","50.179","54.965",5,5,"4.786","Music with lyrics","8","11:35 am","47.539","55.176",5,5,"7.637",5
"6","No","4","Yes","iPhone / iPod","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","Music with lyrics (Ed Sheeran, Shape of You)","7","1:23pm, Sep 17","55.982s","65.715s",5,5,"9.733s","Classical instrumental music (Mozart Piano Sonata No. 8 in A minor)","7","1:35pm, Sep 17.","54.149s","58.828s",6,5,"4.679s","Quiet condition","7","1:42 pm, Sep 17.","54.655s","63.137s",6,5,"8.482s",6
"7","No","17","Yes","iPhone / iPod","Over-ear headphones; noise cancelling","","Quiet / no music ","7 hours","4:40 PM ","40.780","44.449",16,21,"3.670","Classical music","7","4:53","44.229","45.964",14,16,"1.735","Lyrical Music ","7 ","5:00 ","38.798","42.046",10,9,"3.248",7
"8","No","6 years","No","iPhone / iPod","In-ear headphones; not noise cancelling","","quiet condition","10 hours","10:04 am","54.597s","73.384s",5,5,"18.787s","classical instrumental music","10 hours","10.10am","58.037s","66.203s",5,6,"8.166s","music with lyrics","10 hours","10.16am","57.470s","65.333s",5,5,"7.863s",8
"9","Yes","3","Yes","iPad tablet","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","8 hours","9:53 am","65.122s","64.081s",8,5,"-1.041","Music with lyrics","8 hours","10:05 am","59.274s","63.402s",6,7,"4.128s","Classical instrumental music","8 hours","10:18 am","64.517s","61.536s",5,6,"-2.981",9
"10","No","5","No","iPad tablet","Over-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","Quiet","7","3:49pm","59.321s","68.984s",5,5,"9.663s","Classical instrumental music","7","4:01pm","57.499s","60.073s",5,5,"2.574s","Music with lyrics","7","4:09pm","57.778s","62.856s",6,6,"5.079s",10
